xyz_path,filename,smiles,error
data\raw\xyz\127\127CO2.xyz,127CO2.xyz,[P]1(c2c([B]3(OC(C(O3)(C)C)(C)C)OC1=O)cccc2)(C(C)C)C(C)C,
data\raw\xyz\129\129CO2.xyz,129CO2.xyz,Cc1cc(C)cc(c1[B]1(c2c(C)cc(C)cc2C)c2c([N](C)(C)C(=O)O1)cccc2)C,
data\raw\xyz\13\13CO2.xyz,13CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@]2(c1c(F)c(F)c(F)c(F)c1F)Cl,
data\raw\xyz\130\130CO2.xyz,130CO2.xyz,Cc1cc(C)c(C)cc1B(c1c(C)cc(C)c(C)c1)c1c(N(C)C)cccc1.O=C=O,
data\raw\xyz\131\131CO2.xyz,131CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\132\132CO2.xyz,132CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\133\133CO2.xyz,133CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(c1ccccc1)c1ccccc1,
data\raw\xyz\134\134CO2.xyz,134CO2.xyz,[B]1(C[C]2C=CC=C(C)N2C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\135\135CO2.xyz,135CO2.xyz,[B]1(C[C]2C=CC=CN2C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\136\136CO2.xyz,136CO2.xyz,[B]1(C[C]2C=C(C=C(C)N2C(=O)O1)N(C)C)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\137\137CO2.xyz,137CO2.xyz,[B]1(C[C]2C=C(C=C(C)N2C(=O)O1)N1CCCCC1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\138\138CO2.xyz,138CO2.xyz,[B]1(c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)CCCC[C]2C=CC=C(C)N2C(=O)O1,
data\raw\xyz\139\139CO2.xyz,139CO2.xyz,B(c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)CCCCC1=[N]=C([CH]C=C1)C(C)(C)C.O=C=O,
data\raw\xyz\14\14CO2.xyz,14CO2.xyz,c12ccccc1[N](C)(C)C(=O)O[B@@H]2c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\140\140CO2.xyz,140CO2.xyz,P(c1ccc([C@H]2[C@H](B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)[C@H]3CC[C@@]2(C3(C)C)C)cc1)(C(C)(C)C)C(C)(C)C.O=C=O,
data\raw\xyz\141\141CO2.xyz,141CO2.xyz,[C@]12([C@@H]([C@H]([C@@H](CC1)C2(C)C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)N1CCCCC1)C.O=C=O,
data\raw\xyz\148\148CO2.xyz,148CO2.xyz,[P]1(C(=C([B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\149\149CO2.xyz,149CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccc(cc1)C,
data\raw\xyz\15\15CO2.xyz,15CO2.xyz,c12ccccc1[N](C)(C)C(=O)O[B]2(Cl)Cl,
data\raw\xyz\150\150CO2.xyz,150CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1ccccc1)c1ccccc1)C,
data\raw\xyz\151\151CO2.xyz,151CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1ccccc1)c1ccccc1)CCC,
data\raw\xyz\152\152CO2.xyz,152CO2.xyz,[P]1([C@@H](CC)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\153\153CO2.xyz,153CO2.xyz,[P]1([C@@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\154\154CO2.xyz,154CO2.xyz,[P](C(C)(C)C)(CC[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)c1c(F)c(F)c(F)c(F)c1F)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\155\155CO2.xyz,155CO2.xyz,[P](C(C)(C)C)([C@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)Oc1c(F)c(F)c(F)c(F)c1F)C)(C(C)(C)C)C(C)(C)C.O=[C],
data\raw\xyz\156\156CO2.xyz,156CO2.xyz,[P]([C@@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(c1F)F)Oc1c(F)c(F)c(F)c(F)c1F)CCCC)(C(C)(C)C)(C(C)(C)C)C(C)(C)C.O=[C],
data\raw\xyz\157\157CO2.xyz,157CO2.xyz,[CH]=C/C=C\[CH].[C]=C[C][C],
data\raw\xyz\16\16CO2.xyz,16CO2.xyz,[P]1([C@H]2[C@H]([B](c3c(c(c(c(c3F)F)F)F)F)(c3c(c(c(c(c3F)F)F)F)F)OC1=O)[C@H]1CC[C@@H]2C1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\17\17CO2.xyz,17CO2.xyz,[C@H]12CCCC[C@@H]1[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\18\18CO2.xyz,18CO2.xyz,[C@@H]12[C@H](CCC1)[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\19\19CO2.xyz,19CO2.xyz,[B]1(N2N([C](C=C2C(C)(C)C)C(C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\2\2CO2.xyz,2CO2.xyz,[P]1(CC[B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\20\20CO2.xyz,20CO2.xyz,C1/C(=C\C)/[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\21\21CO2.xyz,21CO2.xyz,C1/C(=C\[Si](C)(C)C)/[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\22\22CO2.xyz,22CO2.xyz,[B]1(CCC[P@@](CCCB(c2c(c(c(c(c2F)F)F)F)F)c2c(c(c(c(c2F)F)F)F)F)(c2ccccc2)C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\23\23CO2.xyz,23CO2.xyz,[P@]1(CCC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,
data\raw\xyz\24\24CO2.xyz,24CO2.xyz,Fc1c(c(F)c(F)c(F)c1F)B(CCCN(C)c1ccccc1)c1c(F)c(F)c(F)c(F)c1F.O=C=O,
data\raw\xyz\25\25CO2.xyz,25CO2.xyz,Fc1c(c(F)c(F)c(F)c1F)[B]1(CCC[N](CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)(c2ccccc2)C(=O)O1)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\26\26CO2.xyz,26CO2.xyz,[P]1(CCC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,
data\raw\xyz\27\27CO2.xyz,27CO2.xyz,[P]1([C@@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)C)(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,
data\raw\xyz\28\28CO2.xyz,28CO2.xyz,[P]1([C@H](C[B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\29\29CO2.xyz,29CO2.xyz,[P]1(C[C@H]([B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)[Si](C)(C)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\3\3CO2.xyz,3CO2.xyz,[B]1(c2ccccc2C[N]2(C(CCCC2(C)C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\30\30CO2.xyz,30CO2.xyz,[P]1(C[C@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\31\31CO2.xyz,31CO2.xyz,[P]1(CCCC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\32\32CO2.xyz,32CO2.xyz,[P]1(CC[C@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\33\33CO2.xyz,33CO2.xyz,[B]1(c2ccccc2C[N]2([C@@H](C(c3cccc(c23)C(C)C)(C)C)c2ccccc2)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\34\34CO2.xyz,34CO2.xyz,[B]1(c2ccccc2C[N]2(C(C[C@H](c3ccc(cc23)C)C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\35\35CO2.xyz,35CO2.xyz,[B]1(c2ccccc2C[N]2(C(COCC2(C)C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\36\36CO2.xyz,36CO2.xyz,[B]1(c2ccccc2C[N]2(C(CCCC2(C)C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\37\37CO2.xyz,37CO2.xyz,[B]1(c2ccccc2C[N]2([C@@H](C(c3ccccc23)(C)C)c2ccccc2)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\38\38CO2.xyz,38CO2.xyz,[B]1(c2ccccc2C[N]2(C(C)(C)C[C@@H](c3cccc(c23)C(C)C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\39\39CO2.xyz,39CO2.xyz,[B]1(c2ccccc2C[N]2([C@@]3([C@](c4ccccc24)(C)CC[C@H](C3)C(C)C)c2ccccc2)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\4\4CO2.xyz,4CO2.xyz,[P]1([B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\40\40CO2.xyz,40CO2.xyz,[B]1(c2ccc3ccccc3c2-c2c(ccc3ccccc23)[N](C)(C(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\41\41CO2.xyz,41CO2.xyz,P1(F)(c2ccccc2)(c2ccccc2N(C)C(=O)O1)c1ccccc1,
data\raw\xyz\42\42CO2.xyz,42CO2.xyz,C1(=C[N]2(CCN(C)CC2)C(=O)O[Al]1(CC(C)C)CC(C)C)[Si](C)(C)C,
data\raw\xyz\43\43CO2.xyz,43CO2.xyz,C1=C[C]2N(C(=C1)C(C)(C)C)C(=O)O[B](c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)O2,
data\raw\xyz\44\44CO2.xyz,44CO2.xyz,O1c2ccccc2O[B]21c1ccccc1[P](c1ccccc1)(c1ccccc1)C(=O)O2,
data\raw\xyz\5\5CO2.xyz,5CO2.xyz,[P]1([B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\51\51CO2.xyz,51CO2.xyz,C1C[B@H](c2c(cc(cc2C(F)(F)F)C(F)(F)F)C(F)(F)F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\52\52CO2.xyz,52CO2.xyz,C1CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[N]21[C@H](CCC[C@@H]2C)C,
data\raw\xyz\53\53CO2.xyz,53CO2.xyz,[N]1(/C=C/C)(C(CCCC1(C)C)(C)C)C(=O)O[BH](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\54\54CO2.xyz,54CO2.xyz,C1C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O[C]2[P@@]1(CC[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)O2)c1c(cc(cc1C)C)C,
data\raw\xyz\55\55CO2.xyz,55CO2.xyz,c12ccccc1C[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@]12[C@@H]2CCC[C@H]1CCC2,
data\raw\xyz\56\56CO2.xyz,56CO2.xyz,C[C@H]1[B@@]23[C@@H](C)[C@H]4C[C@@H]1C[C@H](C4)C1=C2[N]2([C@H]([C@H]4C[C@@H]([C@H]2C)C[C@@H]1C4)C)C(=O)O3,
data\raw\xyz\57\57CO2.xyz,57CO2.xyz,[C@@H]12C[C@@H]3C[N@@](C[C@H](C1)C3)[C@@H]2c1cccc([C@]2([C@@]3(C([C@@]4(C([B@]2(C([C@](C3(F)F)(C4(F)F)F)(F)F)O[C][O])(F)F)F)(F)F)F)F)c1,
data\raw\xyz\58\58CO2.xyz,58CO2.xyz,[C@@H]1(CC[C@@H]([P@@]21[B](C(F)(F)F)(C(F)(F)F)OC2=O)C)C,
data\raw\xyz\59\59CO2.xyz,59CO2.xyz,[C@H]12CCCC[NH]1C(=O)O[B]2(c1c(cccc1C)C)c1c(cccc1C)C,
data\raw\xyz\6\6CO2.xyz,6CO2.xyz,C1=C([Si](C)(C)C)[P](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)C(=O)O[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\60\60CO2.xyz,60CO2.xyz,[C]12N3C(CCN1C=C1N2[B@](C(CC1)(C)C)(C)OC3=O)(C)C,
data\raw\xyz\61\61CO2.xyz,61CO2.xyz,C1=C2N3[C]4N(C(CCN14)(C)C)C(=O)O[B@]13[C@@]3(CCC[C@H]1CCC3)CC2,
data\raw\xyz\62\62CO2.xyz,62CO2.xyz,[C@@H]1([P@]2(CC[B@]1(c1c(c(c(c(c1F)F)F)F)F)OC2=O)c1ccccc1)C,
data\raw\xyz\63\63CO2.xyz,63CO2.xyz,[P]1(O[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\64\64CO2.xyz,64CO2.xyz,c1(cccc(c1[P@]12CC[C@H](C1)[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(c(F)c(c(c1F)F)F)F)OC2=O)c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\65\65CO2.xyz,65CO2.xyz,[C]1([CH][B@@H](c2c(cc(cc2C(F)(F)F)C(F)(F)F)C(F)(F)F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)[Si](C)(C)C,
data\raw\xyz\66\66CO2.xyz,66CO2.xyz,B(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)OC(=O)P(C(C)(C)C)C(C)(C)C,
data\raw\xyz\67\67CO2.xyz,67CO2.xyz,C1(=C([Al](C(C)(C)C)(C(C)(C)C)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)CC)CC,
data\raw\xyz\68\68CO2.xyz,68CO2.xyz,[P]1(C[Si](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)OC1=O)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\69\69CO2.xyz,69CO2.xyz,C1[Si](F)(F)(F)OC(=O)[P]1(C(C)(C)C)C(C)(C)C,
data\raw\xyz\7\7CO2.xyz,7CO2.xyz,[B]1(c2ccccc2[N](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\70\70CO2.xyz,70CO2.xyz,C1[Si](Cl)(Cl)(Cl)OC(=O)[P]1(C(C)(C)C)C(C)(C)C,
data\raw\xyz\71\71CO2.xyz,71CO2.xyz,C1[P](C(C)(C)C)(C(C)(C)C)C(=O)O[B]1(c1ccccc1)c1ccccc1,
data\raw\xyz\72\72CO2.xyz,72CO2.xyz,C1[P](C(C)(C)C)(C(C)(C)C)C(=O)O[B]1(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,
data\raw\xyz\73\73CO2.xyz,73CO2.xyz,[N]1([C@@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)c1ccccc1)(CC)CC,
data\raw\xyz\74\74CO2.xyz,74CO2.xyz,[N]12([C@@H](C[B](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)OC2=O)c2ccccc2)CCCCC1,
data\raw\xyz\75\75CO2.xyz,75CO2.xyz,[N]12([C@@H](C([B](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)OC2=O)(C)C)c2ccccc2)CCCCC1,
data\raw\xyz\76\76CO2.xyz,76CO2.xyz,[N]12([C@H]3[C@H]([B](c4c(F)c(F)c(F)c(F)c4F)(c4c(F)c(F)c(F)c(F)c4F)OC2=O)CCCC3)CCCCC1,
data\raw\xyz\77\77CO2.xyz,77CO2.xyz,[B]1([C@H]2[C@@H](CCCC2)[N]2(CCCC2)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\78\78CO2.xyz,78CO2.xyz,c12c(cccc1)[C@@H]1C[C@H]2[P](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)C(=O)O[B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\79\79CO2.xyz,79CO2.xyz,c1cc(c2c(c1)c1c(c(ccc1)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)o2)P(=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C.[C]=O,
data\raw\xyz\8\8CO2.xyz,8CO2.xyz,[B]1(c2ccccc2[N](C)(C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\80\80CO2.xyz,80CO2.xyz,c1c2c3c(cc1)C(c1c(c(ccc1)[B](c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)OC(=O)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)O3)(C)C,
data\raw\xyz\81\81CO2.xyz,81CO2.xyz,c1c2c3c(cc1)C(c1c(c(ccc1)[B](c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)OC(=O)[P]2(C(C)C)C(C)C)O3)(C)C,
data\raw\xyz\83\83CO2.xyz,83CO2.xyz,[P]1(c2c3Oc4c([B](c5c(F)c(F)c(F)c(c5F)F)(c5c(c(c(c(c5F)F)F)F)F)OC1=O)cccc4C(c3ccc2)(C)C)(c1ccccc1)c1ccccc1,
data\raw\xyz\84\84CO2.xyz,84CO2.xyz,[P]1(C2=C3[C@@H]([C@H](C=C2[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)c1ccccc1)CCCC3)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\85\85CO2.xyz,85CO2.xyz,[P]1(c2c([B](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)OC1=O)cc(c1c2CCCC1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\86\86CO2.xyz,86CO2.xyz,[P]1(c2c(cc(cc2C)C(C)(C)C)[B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\87\87CO2.xyz,87CO2.xyz,[P]1(c2c(cc(cc2C)c2ccccc2)[B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
