FLPID,OLD ID,LA-LB distance (A),H2O,E_H2O,H_H2O,G_H2O,E_H2O_sol,H_H2O_sol,G_H2O_sol
0BN16021,53,3.539,H2O,-22.1,-20.7,-10.8,-24.4,-7.1,-10.9
0BP17021,54,3.187,H2O,-17.6,-15.7,-7.6,-20.1,-2.8,-6.8
0BN15011,55,3.32,H2O,-20.9,-18.9,-5.1,-16.8,1,-4.7
0BN10021,56,2.55,H2O,-36.9,-34.1,-22,-21.3,-3.4,-3.5
0BN19011,57,4.703,H2O,-48.6,-45.5,-33.3,-37,-18.3,-20.1
0BP09021,58,1.756,H2O,-49.5,-49,-37.5,-48.9,-29.9,-31.5
0BN09011,59,2.493,H2O,-24.7,-21.7,-8.3,-48.5,-32.2,-34.5
0BN11021,60,3.056,H2O,-33.1,-30.5,-17.8,-24.4,-5.4,-5.9
0BN11022,61,3.075,H2O,-33.3,-30.7,-17.7,-32.3,-13.8,-15
0BP19021,62,2.563,H2O,-13.3,-10,-0.5,-31.6,-13.2,-14
0BP18011,63,2.868,H2O,-32.5,-32,-18.9,-11.3,7.9,3.6
0BP20051,64,2.08622,H2O,-3.8,-2.3,6.4,-32.4,-16,-16.8
0BP20061,65,3.14856,H2O,-18.2,-16.4,-2.5,-1.3,16,10.9
0BP20011,66,1.993,H2O,-8.4,-6.9,1,-15.9,1.7,1.8
0AP20011,67,2.61169,H2O,-19.3,-19.4,-8.7,-7.4,10,4
